image_id,label,graphemes
13045.png,বিশ্লেষন,"['বি', 'শ্লে', 'ষ', 'ন']"
14257.png,সাইকেল,"['সা', 'ই', 'কে', 'ল']"
8397.png,প্রজাতন্ত্রী,"['প্র', 'জা', 'ত', 'ন্ত্রী']"
10581.png,বসিয়ে,"['ব', 'সি', 'য়ে']"
13571.png,যাতে,"['যা', 'তে']"
315.png,দলবদ্ধভাবে,"['দ', 'ল', 'ব', 'দ্ধ', 'ভা', 'বে']"
1020.png,বাসতে,"['বা', 'স', 'তে']"
7614.png,নিয়োগ,"['নি', 'য়ো', 'গ']"
2842.png,যেখানে,"['যে', 'খা', 'নে']"
7672.png,গাড়,"['গা', 'ড়']"
15609.png,যান,"['যা', 'ন']"
6219.png,মুসলমান,"['মু', 'স', 'ল', 'মা', 'ন']"
12061.png,ওড়াতে,"['ও', 'ড়া', 'তে']"
1568.png,একই,"['এ', 'ক', 'ই']"
11315.png,ছলে,"['ছ', 'লে']"
17253.png,ফিরোজা,"['ফি', 'রো', 'জা']"
6831.png,যুক্তরাষ্ট্র,"['যু', 'ক্ত', 'রা', 'ষ্ট্র']"
10959.png,এক্ষেত্রে,"['এ', 'ক্ষে', 'ত্রে']"
15961.png,তাহাই,"['তা', 'হা', 'ই']"
4133.png,স্মৃতি,"['স্মৃ', 'তি']"
4549.png,ইন্টারনেটে,"['ই', 'ন্টা', 'র', 'নে', 'টে']"
9627.png,তুমার,"['তু', 'মা', 'র']"
16160.png,হয়নি,"['হ', 'য়', 'নি']"
16027.png,সাফ,"['সা', 'ফ']"
16208.png,সুতরাং,"['সু', 'ত', 'রা', 'ং']"
12626.png,শিশুকাল,"['শি', 'শু', 'কা', 'ল']"
7880.png,সম্পদের,"['স', 'ম্প', 'দে', 'র']"
16333.png,নির্দয়,"['নি', 'র্দ', 'য়']"
2482.png,ফারুক,"['ফা', 'রু', 'ক']"
5322.png,কমাস,"['ক', 'মা', 'স']"
7867.png,হারে,"['হা', 'রে']"
3372.png,বালিকা,"['বা', 'লি', 'কা']"
7363.png,মলিন,"['ম', 'লি', 'ন']"
2227.png,বিলুপ্তি,"['বি', 'লু', 'প্তি']"
6181.png,জেলার,"['জে', 'লা', 'র']"
7622.png,কোস,"['কো', 'স']"
11328.png,টো,['টো']
15923.png,ডাকে,"['ডা', 'কে']"
851.png,রুক্ষ,"['রু', 'ক্ষ']"
11982.png,মৃত্যুকে,"['মৃ', 'ত্যু', 'কে']"
6260.png,ফেটে,"['ফে', 'টে']"
1718.png,তেমন,"['তে', 'ম', 'ন']"
10930.png,হীনমন্যতার,"['হী', 'ন', 'ম', 'ন্য', 'তা', 'র']"
15788.png,তায়ালাকে,"['তা', 'য়া', 'লা', 'কে']"
10727.png,শিল্পায়ন,"['শি', 'ল্পা', 'য়', 'ন']"
7180.png,সিঙ্গাপুর,"['সি', 'ঙ্গা', 'পু', 'র']"
17194.png,ইন্ডিয়া,"['ই', 'ন্ডি', 'য়া']"
17360.png,শীর্ষস্থানীয়,"['শী', 'র্ষ', 'স্থা', 'নী', 'য়']"
13916.png,আবুবকর,"['আ', 'বু', 'ব', 'ক', 'র']"
14091.png,সামগ্রী,"['সা', 'ম', 'গ্রী']"
2577.png,গোত্র,"['গো', 'ত্র']"
14352.png,সংরক্ষন,"['স', 'ং', 'র', 'ক্ষ', 'ন']"
14334.png,ভারতবর্ষের,"['ভা', 'র', 'ত', 'ব', 'র্ষে', 'র']"
10552.png,কাজটিতে,"['কা', 'জ', 'টি', 'তে']"
17547.png,আসাকে,"['আ', 'সা', 'কে']"
836.png,বোঝার,"['বো', 'ঝা', 'র']"
5951.png,জনতাকে,"['জ', 'ন', 'তা', 'কে']"
16049.png,নিজেরা,"['নি', 'জে', 'রা']"
9260.png,মারবো,"['মা', 'র', 'বো']"
6749.png,ফলাফল,"['ফ', 'লা', 'ফ', 'ল']"
11629.png,বীজগনিতীয়,"['বী', 'জ', 'গ', 'নি', 'তী', 'য়']"
3881.png,চেয়ে,"['চে', 'য়ে']"
7054.png,অন্তর্নিহিত,"['অ', 'ন্ত', 'র্নি', 'হি', 'ত']"
11641.png,যোন,"['যো', 'ন']"
14275.png,প্রতীক,"['প্র', 'তী', 'ক']"
7905.png,আছেন,"['আ', 'ছে', 'ন']"
16611.png,কানাডা,"['কা', 'না', 'ডা']"
7374.png,কারাবরন,"['কা', 'রা', 'ব', 'র', 'ন']"
3670.png,উড়ে,"['উ', 'ড়ে']"
8778.png,বউকে,"['ব', 'উ', 'কে']"
17449.png,পৃষ্ঠ,"['পৃ', 'ষ্ঠ']"
1050.png,আয়ন,"['আ', 'য়', 'ন']"
8924.png,এড়ানোর,"['এ', 'ড়া', 'নো', 'র']"
9602.png,দাদা,"['দা', 'দা']"
853.png,হিন্দি,"['হি', 'ন্দি']"
6156.png,আলোকে,"['আ', 'লো', 'কে']"
14669.png,প্রতিষ্ঠান,"['প্র', 'তি', 'ষ্ঠা', 'ন']"
9771.png,ব্যর্থ,"['ব্য', 'র্থ']"
13549.png,সংখ্যাও,"['স', 'ং', 'খ্যা', 'ও']"
4078.png,ধর্মীয়,"['ধ', 'র্মী', 'য়']"
2182.png,শয়তান,"['শ', 'য়', 'তা', 'ন']"
16276.png,যেথা,"['যে', 'থা']"
12452.png,মেরে,"['মে', 'রে']"
2270.png,প্রত্যঙ্গ,"['প্র', 'ত্য', 'ঙ্গ']"
13167.png,প্রবীণদের,"['প্র', 'বী', 'ণ', 'দে', 'র']"
15353.png,ব্যবস্থাপনা,"['ব্য', 'ব', 'স্থা', 'প', 'না']"
1949.png,লাগে,"['লা', 'গে']"
3624.png,প্রয়োজনীয়,"['প্র', 'য়ো', 'জ', 'নী', 'য়']"
5089.png,সকালে,"['স', 'কা', 'লে']"
11307.png,বিজ্ঞানিরা,"['বি', 'জ্ঞা', 'নি', 'রা']"
14119.png,যেমনঃ,"['যে', 'ম', 'ন', 'ঃ']"
17624.png,কয়েল,"['ক', 'য়ে', 'ল']"
17603.png,এগুলোকে,"['এ', 'গু', 'লো', 'কে']"
11644.png,সরলীকরন,"['স', 'র', 'লী', 'ক', 'র', 'ন']"
14633.png,তোমারা,"['তো', 'মা', 'রা']"
6163.png,পাঠ্যপুস্তকগুলো,"['পা', 'ঠ্য', 'পু', 'স্ত', 'ক', 'গু', 'লো']"
3386.png,মরে,"['ম', 'রে']"
11868.png,দ্বারাই,"['দ্বা', 'রা', 'ই']"
3558.png,যেত,"['যে', 'ত']"
5263.png,ফেরত,"['ফে', 'র', 'ত']"
4949.png,পরিবেষ্টিত,"['প', 'রি', 'বে', 'ষ্টি', 'ত']"
933.png,ঘোষনার,"['ঘো', 'ষ', 'না', 'র']"
10700.png,নিচ্ছি,"['নি', 'চ্ছি']"
12247.png,বাঁধা,"['বাঁ', 'ধা']"
12372.png,গ্রাস,"['গ্রা', 'স']"
13380.png,সাজানো,"['সা', 'জা', 'নো']"
14731.png,আকারে,"['আ', 'কা', 'রে']"
6731.png,সাহায্যে,"['সা', 'হা', 'য্যে']"
989.png,ছুয়ে,"['ছু', 'য়ে']"
16954.png,গঙ্গায়,"['গ', 'ঙ্গা', 'য়']"
15686.png,দুজনই,"['দু', 'জ', 'ন', 'ই']"
5942.png,ল,['ল']
11345.png,জনপ্রিয়তার,"['জ', 'ন', 'প্রি', 'য়', 'তা', 'র']"
11289.png,মঞ্জিল,"['ম', 'ঞ্জি', 'ল']"
915.png,গ্রেপ্তার,"['গ্রে', 'প্তা', 'র']"
17677.png,পোষ,"['পো', 'ষ']"
6332.png,বলতো,"['ব', 'ল', 'তো']"
2614.png,ক্ষতিগ্রস্ত,"['ক্ষ', 'তি', 'গ্র', 'স্ত']"
5055.png,গল্পে,"['গ', 'ল্পে']"
14631.png,আম,"['আ', 'ম']"
11602.png,অতঃপর,"['অ', 'ত', 'ঃ', 'প', 'র']"
11779.png,আয়ের,"['আ', 'য়ে', 'র']"
3808.png,সম্রাট,"['স', 'ম্রা', 'ট']"
7887.png,ভাববার,"['ভা', 'ব', 'বা', 'র']"
954.png,ওসমানীকে,"['ও', 'স', 'মা', 'নী', 'কে']"
16936.png,তাইতে,"['তা', 'ই', 'তে']"
4934.png,কিয়ামতের,"['কি', 'য়া', 'ম', 'তে', 'র']"
7917.png,দু,['দু']
553.png,দোতলা,"['দো', 'ত', 'লা']"
224.png,উচ্চ,"['উ', 'চ্চ']"
1693.png,কেননা,"['কে', 'ন', 'না']"
15279.png,দুটি,"['দু', 'টি']"
8386.png,কখনোই,"['ক', 'খ', 'নো', 'ই']"
17612.png,টুকরোটা,"['টু', 'ক', 'রো', 'টা']"
15239.png,উপর,"['উ', 'প', 'র']"
10113.png,শা,['শা']
17863.png,তোলেন,"['তো', 'লে', 'ন']"
8554.png,রোধে,"['রো', 'ধে']"
16154.png,ভাবছিল,"['ভা', 'ব', 'ছি', 'ল']"
7585.png,কোর্স,"['কো', 'র্স']"
8331.png,ডাকা,"['ডা', 'কা']"
16956.png,গঙ্গা,"['গ', 'ঙ্গা']"
17538.png,বিদেশ,"['বি', 'দে', 'শ']"
544.png,করল,"['ক', 'র', 'ল']"
16434.png,তারপরে,"['তা', 'র', 'প', 'রে']"
16835.png,জন্মভূমি,"['জ', 'ন্ম', 'ভূ', 'মি']"
11290.png,নারায়ন,"['না', 'রা', 'য়', 'ন']"
14545.png,এরিস্টটলের,"['এ', 'রি', 'স্ট', 'ট', 'লে', 'র']"
13501.png,প্রতিযোগিতায়,"['প্র', 'তি', 'যো', 'গি', 'তা', 'য়']"
8593.png,ভাষার,"['ভা', 'ষা', 'র']"
970.png,মুক্তিযুদ্ধ,"['মু', 'ক্তি', 'যু', 'দ্ধ']"
6892.png,টাকা,"['টা', 'কা']"
15611.png,ঢাকা,"['ঢা', 'কা']"
4483.png,নিয়মিত,"['নি', 'য়', 'মি', 'ত']"
8961.png,করবেন,"['ক', 'র', 'বে', 'ন']"
8580.png,পুত্র,"['পু', 'ত্র']"
11262.png,দর্শনীয়,"['দ', 'র্শ', 'নী', 'য়']"
12453.png,দেয়,"['দে', 'য়']"
3260.png,সামগ্রি,"['সা', 'ম', 'গ্রি']"
12332.png,মাধ্যমেও,"['মা', 'ধ্য', 'মে', 'ও']"
6357.png,পল্টনে,"['প', 'ল্ট', 'নে']"
16737.png,এছাড়া,"['এ', 'ছা', 'ড়া']"
8560.png,ভাষারীতি,"['ভা', 'ষা', 'রী', 'তি']"
8074.png,অত্যন্ত,"['অ', 'ত্য', 'ন্ত']"
13013.png,পানি,"['পা', 'নি']"
14350.png,সৌন্দর্য,"['সৌ', 'ন্দ']"
7676.png,অর্থ,"['অ', 'র্থ']"
3216.png,ময়,"['ম', 'য়']"
14665.png,মুনাফা,"['মু', 'না', 'ফা']"
7110.png,সারাদিন,"['সা', 'রা', 'দি', 'ন']"
7583.png,দ্বাদশ,"['দ্বা', 'দ', 'শ']"
16473.png,বলেনঃ,"['ব', 'লে', 'ন', 'ঃ']"
2471.png,তীক্ষ্ণ,"['তী', 'ক্ষ্ণ']"
5767.png,ভাদ্র,"['ভা', 'দ্র']"
14261.png,যতবার,"['য', 'ত', 'বা', 'র']"
17654.png,প্রবাহের,"['প্র', 'বা', 'হে', 'র']"
12811.png,ধর্ষণ,"['ধ', 'র্ষ', 'ণ']"
17232.png,মন্বন্তর,"['ম', 'ন্ব', 'ন্ত', 'র']"
1707.png,পরিহার,"['প', 'রি', 'হা', 'র']"
16140.png,যেয়ে,"['যে', 'য়ে']"
6673.png,বাঙালি,"['বা', 'ঙা', 'লি']"
11193.png,গায়,"['গা', 'য়']"
13735.png,শ্রেষ্ঠ,"['শ্রে', 'ষ্ঠ']"
12274.png,কুব,"['কু', 'ব']"
8406.png,বেইজিং,"['বে', 'ই', 'জি', 'ং']"
1407.png,স্টেডিয়াম,"['স্টে', 'ডি', 'য়া', 'ম']"
9302.png,ডর,"['ড', 'র']"
17593.png,কোবাল্ট,"['কো', 'বা', 'ল্ট']"
8937.png,চোখে,"['চো', 'খে']"
4157.png,ছায়ার,"['ছা', 'য়া', 'র']"
6546.png,দেখাবো,"['দে', 'খা', 'বো']"
11293.png,গাঁ,['গাঁ']
14742.png,প্রাচীন,"['প্রা', 'চী', 'ন']"
12552.png,সংজ্ঞা,"['স', 'ং', 'জ্ঞা']"
5154.png,শুকিয়ে,"['শু', 'কি', 'য়ে']"
5425.png,উৎসবের,"['উ', 'ৎ', 'স', 'বে', 'র']"
8207.png,উঃ,"['উ', 'ঃ']"
10339.png,আশায়,"['আ', 'শা', 'য়']"
16025.png,প্রতিরোদ,"['প্র', 'তি', 'রো', 'দ']"
5775.png,কলকাতা,"['ক', 'ল', 'কা', 'তা']"
17705.png,র্থীদের,"['র্থী', 'দে', 'র']"
7219.png,স্বপ্নের,"['স্ব', 'প্নে', 'র']"
3082.png,সন্তানরা,"['স', 'ন্তা', 'ন', 'রা']"
2265.png,হিংসার,"['হি', 'ং', 'সা', 'র']"
3254.png,ভারতের,"['ভা', 'র', 'তে', 'র']"
10853.png,মিথ্যার,"['মি', 'থ্যা', 'র']"
15292.png,বোঝায়,"['বো', 'ঝা', 'য়']"
6093.png,রাসায়নিক,"['রা', 'সা', 'য়', 'নি', 'ক']"
13372.png,প্রাইমারি,"['প্রা', 'ই', 'মা', 'রি']"
14488.png,পাওনাদারকে,"['পা', 'ও', 'না', 'দা', 'র', 'কে']"
804.png,দাঁড়িয়েছে,"['দাঁ', 'ড়ি', 'য়ে', 'ছে']"
13038.png,হস্তক্ষেপ,"['হ', 'স্ত', 'ক্ষে', 'প']"
1876.png,কোথা,"['কো', 'থা']"
13993.png,আশীর্বাদ,"['আ', 'শী', 'র্বা', 'দ']"
16965.png,যুগান্তকারী,"['যু', 'গা', 'ন্ত', 'কা', 'রী']"
15195.png,জাপান,"['জা', 'পা', 'ন']"
4052.png,শিক্ষার্থীরা,"['শি', 'ক্ষা', 'র্থী', 'রা']"
13889.png,আছো,"['আ', 'ছো']"
8674.png,চলবে,"['চ', 'ল', 'বে']"
2620.png,সমুদ্রের,"['স', 'মু', 'দ্রে', 'র']"
7936.png,বৈশিষ্ট্য,"['বৈ', 'শি', 'ষ্ট্য']"
3522.png,মার্কায়,"['মা', 'র্কা', 'য়']"
9456.png,মর্ম,"['ম', 'র্ম']"
15803.png,কোনোরূপ,"['কো', 'নো', 'রূ', 'প']"
1439.png,ভাবছেন,"['ভা', 'ব', 'ছে', 'ন']"
2225.png,অন্তরে,"['অ', 'ন্ত', 'রে']"
7208.png,নীড়ে,"['নী', 'ড়ে']"
5465.png,বছরই,"['ব', 'ছ', 'র', 'ই']"
9622.png,তুমাই,"['তু', 'মা', 'ই']"
17628.png,ঢোকানো,"['ঢো', 'কা', 'নো']"
6188.png,বিএ,"['বি', 'এ']"
7576.png,সারগোদার,"['সা', 'র', 'গো', 'দা', 'র']"
9710.png,আহার্য,"['আ', 'হা']"
6904.png,অর্থনীতিতেও,"['অ', 'র্থ', 'নী', 'তি', 'তে', 'ও']"
13685.png,এমন,"['এ', 'ম', 'ন']"
5725.png,আত্মপ্রকাশের,"['আ', 'ত্ম', 'প্র', 'কা', 'শে', 'র']"
2519.png,প্রেক্ষিত,"['প্রে', 'ক্ষি', 'ত']"
15694.png,শিখবে,"['শি', 'খ', 'বে']"
6713.png,বাস্তবায়ন,"['বা', 'স্ত', 'বা', 'য়', 'ন']"
6345.png,বিশ্ববদ্যালয়ে,"['বি', 'শ্ব', 'ব', 'দ্যা', 'ল', 'য়ে']"
7818.png,অর্থনীতিবিদদের,"['অ', 'র্থ', 'নী', 'তি', 'বি', 'দ', 'দে', 'র']"
37.png,আলোক,"['আ', 'লো', 'ক']"
11565.png,নির্দেশনা,"['নি', 'র্দে', 'শ', 'না']"
17714.png,করিছি,"['ক', 'রি', 'ছি']"
792.png,সেভাবে,"['সে', 'ভা', 'বে']"
6404.png,প্রতিভার,"['প্র', 'তি', 'ভা', 'র']"
7160.png,পেট্রোলিয়াম,"['পে', 'ট্রো', 'লি', 'য়া', 'ম']"
17511.png,বান্দাগন,"['বা', 'ন্দা', 'গ', 'ন']"
700.png,প্রথমত,"['প্র', 'থ', 'ম', 'ত']"
1868.png,ঘোর,"['ঘো', 'র']"
14957.png,দেওয়া,"['দে', 'ও', 'য়া']"
11761.png,থানা,"['থা', 'না']"
7135.png,খেলি,"['খে', 'লি']"
16396.png,জবাবদিহিতা,"['জ', 'বা', 'ব', 'দি', 'হি', 'তা']"
7690.png,একটির,"['এ', 'ক', 'টি', 'র']"
8574.png,সাধু,"['সা', 'ধু']"
776.png,দানা,"['দা', 'না']"
17731.png,চিত্র,"['চি', 'ত্র']"
15120.png,পাঠানো,"['পা', 'ঠা', 'নো']"
9960.png,পৃথিবীর,"['পৃ', 'থি', 'বী', 'র']"
900.png,বাহিনী,"['বা', 'হি', 'নী']"
4717.png,লম্বের,"['ল', 'ম্বে', 'র']"
17626.png,সলিনয়েড,"['স', 'লি', 'ন', 'য়ে', 'ড']"
16679.png,নিরুপনে,"['নি', 'রু', 'প', 'নে']"
4609.png,কেরে,"['কে', 'রে']"
10595.png,তালার,"['তা', 'লা', 'র']"
4032.png,ভক্তি,"['ভ', 'ক্তি']"
8318.png,খারাপ,"['খা', 'রা', 'প']"
4810.png,অন্দোলন,"['অ', 'ন্দো', 'ল', 'ন']"
4716.png,রশ্মি,"['র', 'শ্মি']"
1460.png,অবধি,"['অ', 'ব', 'ধি']"
3759.png,ভালোবাসতেন,"['ভা', 'লো', 'বা', 'স', 'তে', 'ন']"
12805.png,করাকে,"['ক', 'রা', 'কে']"
10614.png,প্রকাশ্যে,"['প্র', 'কা', 'শ্যে']"
12851.png,উল্লেখ,"['উ', 'ল্লে', 'খ']"
9106.png,অগ্রসর,"['অ', 'গ্র', 'স', 'র']"
10315.png,কেমন,"['কে', 'ম', 'ন']"
9255.png,দিয়েছি,"['দি', 'য়ে', 'ছি']"
17809.png,নিঃসঙ্গতা,"['নি', 'ঃ', 'স', 'ঙ্গ', 'তা']"
798.png,মৌলিক,"['মৌ', 'লি', 'ক']"
1436.png,যাতায়াত,"['যা', 'তা', 'য়া', 'ত']"
13714.png,অবহিত,"['অ', 'ব', 'হি', 'ত']"
17607.png,অসংখ্য,"['অ', 'স', 'ং', 'খ্য']"
951.png,কর্নেল,"['ক', 'র্নে', 'ল']"
4101.png,পিট,"['পি', 'ট']"
1660.png,সাবধান,"['সা', 'ব', 'ধা', 'ন']"
1695.png,মানুষকে,"['মা', 'নু', 'ষ', 'কে']"
13923.png,গভীরভাবে,"['গ', 'ভী', 'র', 'ভা', 'বে']"
7444.png,কর্তৃক,"['ক', 'র্তৃ', 'ক']"
13246.png,সামর্থ্য,"['সা', 'ম', 'র্থ্য']"
4085.png,নম্রতা,"['ন', 'ম্র', 'তা']"
845.png,লেখার,"['লে', 'খা', 'র']"
12378.png,শক্তিশালী,"['শ', 'ক্তি', 'শা', 'লী']"
12598.png,অবসান,"['অ', 'ব', 'সা', 'ন']"
15262.png,মাপা,"['মা', 'পা']"
8362.png,হাসিটা,"['হা', 'সি', 'টা']"
4562.png,বিশ্বাস,"['বি', 'শ্বা', 'স']"
398.png,কুসংস্কার,"['কু', 'স', 'ং', 'স্কা', 'র']"
6327.png,এইখানে,"['এ', 'ই', 'খা', 'নে']"
15342.png,পিছনে,"['পি', 'ছ', 'নে']"
11864.png,প্রসারিত,"['প্র', 'সা', 'রি', 'ত']"
5445.png,মহা,"['ম', 'হা']"
10262.png,আইন,"['আ', 'ই', 'ন']"
10325.png,ছুটছে,"['ছু', 'ট', 'ছে']"
79.png,তীব্র,"['তী', 'ব্র']"
13909.png,বলিবে,"['ব', 'লি', 'বে']"
9162.png,ও,['ও']
8683.png,মূল্য,"['মূ', 'ল্য']"
