image_id,label,graphemes
12570.png,ইচ্ছা,"['ই', 'চ্ছা']"
183.png,এই,"['এ', 'ই']"
4934.png,কিয়ামতের,"['কি', 'য়া', 'ম', 'তে', 'র']"
10812.png,বাধা,"['বা', 'ধা']"
7834.png,প্রদানে,"['প্র', 'দা', 'নে']"
6885.png,গুলোকে,"['গু', 'লো', 'কে']"
1509.png,বলার,"['ব', 'লা', 'র']"
17883.png,শিষ্ঠাচার,"['শি', 'ষ্ঠা', 'চা', 'র']"
17404.png,কাশবন,"['কা', 'শ', 'ব', 'ন']"
2831.png,যে,['যে']
10802.png,হতবাক,"['হ', 'ত', 'বা', 'ক']"
5093.png,আলোয়,"['আ', 'লো', 'য়']"
13600.png,সেলসিয়াসের,"['সে', 'ল', 'সি', 'য়া', 'সে', 'র']"
7697.png,পাকিস্থান,"['পা', 'কি', 'স্থা', 'ন']"
8616.png,সার,"['সা', 'র']"
5855.png,প্রাচীন,"['প্রা', 'চী', 'ন']"
1065.png,ঘটছে,"['ঘ', 'ট', 'ছে']"
9117.png,উৎপাদনের,"['উ', 'ৎ', 'পা', 'দ', 'নে', 'র']"
5282.png,পার্শ্ববর্তী,"['পা', 'র্শ্ব', 'ব', 'র্তী']"
15342.png,পিছনে,"['পি', 'ছ', 'নে']"
820.png,সাধারনভাবে,"['সা', 'ধা', 'র', 'ন', 'ভা', 'বে']"
10209.png,কমাতে,"['ক', 'মা', 'তে']"
1837.png,রপ্তানিতে,"['র', 'প্তা', 'নি', 'তে']"
14720.png,সংখ্যার,"['স', 'ং', 'খ্যা', 'র']"
653.png,খুঁজে,"['খুঁ', 'জে']"
4312.png,পরিচালন,"['প', 'রি', 'চা', 'ল', 'ন']"
14265.png,ততবার,"['ত', 'ত', 'বা', 'র']"
13322.png,যারা,"['যা', 'রা']"
17746.png,গবেষকদের,"['গ', 'বে', 'ষ', 'ক', 'দে', 'র']"
17253.png,ফিরোজা,"['ফি', 'রো', 'জা']"
12703.png,ছোটখাটো,"['ছো', 'ট', 'খা', 'টো']"
323.png,ওয়ালীউল্লাহ,"['ও', 'য়া', 'লী', 'উ', 'ল্লা', 'হ']"
8723.png,কখনও,"['ক', 'খ', 'ন', 'ও']"
915.png,গ্রেপ্তার,"['গ্রে', 'প্তা', 'র']"
13102.png,ধস্তাধস্তি,"['ধ', 'স্তা', 'ধ', 'স্তি']"
4938.png,সদৃশ,"['স', 'দৃ', 'শ']"
13303.png,আন্তরিক,"['আ', 'ন্ত', 'রি', 'ক']"
13265.png,প্রয়োজনেই,"['প্র', 'য়ো', 'জ', 'নে', 'ই']"
220.png,বসবাসকারী,"['ব', 'স', 'বা', 'স', 'কা', 'রী']"
7622.png,কোস,"['কো', 'স']"
13042.png,পর্যালোচনা,"['প', 'র্যা', 'লো', 'চ', 'না']"
15356.png,অনস্বীকার্য,"['অ', 'ন', 'স্বী', 'কা']"
14209.png,বস্তু,"['ব', 'স্তু']"
6725.png,অধ্যয়ন,"['অ', 'ধ্য', 'য়', 'ন']"
7536.png,করেছ,"['ক', 'রে', 'ছ']"
12897.png,শিক্ষাপ্রতিষ্ঠান,"['শি', 'ক্ষা', 'প্র', 'তি', 'ষ্ঠা', 'ন']"
264.png,ফলমূল,"['ফ', 'ল', 'মূ', 'ল']"
8936.png,একমাস,"['এ', 'ক', 'মা', 'স']"
9037.png,কমে,"['ক', 'মে']"
3609.png,স্কুল,"['স্কু', 'ল']"
101.png,অনুকুল,"['অ', 'নু', 'কু', 'ল']"
13678.png,মুক্তিযুদ্ধ,"['মু', 'ক্তি', 'যু', 'দ্ধ']"
7062.png,উচ্চতর,"['উ', 'চ্চ', 'ত', 'র']"
5508.png,করো,"['ক', 'রো']"
6705.png,যন্ত্রে,"['য', 'ন্ত্রে']"
17626.png,সলিনয়েড,"['স', 'লি', 'ন', 'য়ে', 'ড']"
10912.png,ধরনের,"['ধ', 'র', 'নে', 'র']"
4558.png,অন্ধ,"['অ', 'ন্ধ']"
16018.png,এন্ডসকপি,"['এ', 'ন্ড', 'স', 'ক', 'পি']"
9566.png,চাচি,"['চা', 'চি']"
2263.png,হিংসা,"['হি', 'ং', 'সা']"
13411.png,রেকর্ডটির,"['রে', 'ক', 'র্ড', 'টি', 'র']"
6699.png,ভিত্তির,"['ভি', 'ত্তি', 'র']"
9602.png,দাদা,"['দা', 'দা']"
3307.png,বাজারঘাট,"['বা', 'জা', 'র', 'ঘা', 'ট']"
13879.png,বলছ,"['ব', 'ল', 'ছ']"
16639.png,চিকিৎসা,"['চি', 'কি', 'ৎ', 'সা']"
15882.png,চলেছে,"['চ', 'লে', 'ছে']"
1929.png,শীতের,"['শী', 'তে', 'র']"
11700.png,সংস্কৃতি,"['স', 'ং', 'স্কৃ', 'তি']"
3459.png,খলিফা,"['খ', 'লি', 'ফা']"
17025.png,মেয়ে,"['মে', 'য়ে']"
8667.png,লাগতে,"['লা', 'গ', 'তে']"
8664.png,শাস্তি,"['শা', 'স্তি']"
2370.png,করাব,"['ক', 'রা', 'ব']"
10144.png,প্রথমটি,"['প্র', 'থ', 'ম', 'টি']"
11084.png,দড়ি,"['দ', 'ড়ি']"
15424.png,তাহলো,"['তা', 'হ', 'লো']"
9740.png,খাদ্যবস্তুকে,"['খা', 'দ্য', 'ব', 'স্তু', 'কে']"
7672.png,গাড়,"['গা', 'ড়']"
15358.png,শিক্ষ,"['শি', 'ক্ষ']"
2693.png,মায়ে,"['মা', 'য়ে']"
11277.png,রানী,"['রা', 'নী']"
10798.png,উপনীত,"['উ', 'প', 'নী', 'ত']"
13317.png,বলেনঃ,"['ব', 'লে', 'ন', 'ঃ']"
13054.png,অবক্ষয়,"['অ', 'ব', 'ক্ষ', 'য়']"
16449.png,পুরস্কার,"['পু', 'র', 'স্কা', 'র']"
5973.png,কাঁদে,"['কাঁ', 'দে']"
17671.png,হয়েছি,"['হ', 'য়ে', 'ছি']"
3771.png,মতে,"['ম', 'তে']"
5709.png,মনের,"['ম', 'নে', 'র']"
773.png,আগেই,"['আ', 'গে', 'ই']"
14713.png,কোম্পানিগুলো,"['কো', 'ম্পা', 'নি', 'গু', 'লো']"
8676.png,প্রাথমিক,"['প্রা', 'থ', 'মি', 'ক']"
9218.png,গৌরবের,"['গৌ', 'র', 'বে', 'র']"
2897.png,টিপ,"['টি', 'প']"
5249.png,অনলাইনে,"['অ', 'ন', 'লা', 'ই', 'নে']"
9129.png,বৃদ্ধি,"['বৃ', 'দ্ধি']"
847.png,মাত্রা,"['মা', 'ত্রা']"
11456.png,ব্যাক্তির,"['ব্যা', 'ক্তি', 'র']"
5890.png,শেখ,"['শে', 'খ']"
13370.png,রেকর্ড,"['রে', 'ক', 'র্ড']"
13413.png,মিল,"['মি', 'ল']"
4998.png,কারবার,"['কা', 'র', 'বা', 'র']"
3339.png,নাবিলের,"['না', 'বি', 'লে', 'র']"
7565.png,রোডে,"['রো', 'ডে']"
17.png,পুরী,"['পু', 'রী']"
6677.png,নামটি,"['না', 'ম', 'টি']"
16246.png,পারবে,"['পা', 'র', 'বে']"
10344.png,যন্ত্রণাকে,"['য', 'ন্ত্র', 'ণা', 'কে']"
4555.png,নিয়েছে,"['নি', 'য়ে', 'ছে']"
13400.png,তাছাড়া,"['তা', 'ছা', 'ড়া']"
4113.png,গহ্বরে,"['গ', 'হ্ব', 'রে']"
9837.png,বাজে,"['বা', 'জে']"
10320.png,ঘূর্ণিপাকে,"['ঘূ', 'র্ণি', 'পা', 'কে']"
7910.png,পেরেছি,"['পে', 'রে', 'ছি']"
13006.png,ভূগোল,"['ভূ', 'গো', 'ল']"
10552.png,কাজটিতে,"['কা', 'জ', 'টি', 'তে']"
5248.png,গ্রাহকরা,"['গ্রা', 'হ', 'ক', 'রা']"
16495.png,আন,"['আ', 'ন']"
2747.png,হকারি,"['হ', 'কা', 'রি']"
10933.png,তাঁরা,"['তাঁ', 'রা']"
13027.png,উপরোক্ত,"['উ', 'প', 'রো', 'ক্ত']"
12.png,সাগর,"['সা', 'গ', 'র']"
12517.png,একটা,"['এ', 'ক', 'টা']"
9560.png,চাচা,"['চা', 'চা']"
7210.png,দেয়ালে,"['দে', 'য়া', 'লে']"
1863.png,থম,"['থ', 'ম']"
8317.png,অনেকে,"['অ', 'নে', 'কে']"
5510.png,আগের,"['আ', 'গে', 'র']"
10265.png,সাম্য,"['সা', 'ম্য']"
14573.png,সভ্যতা,"['স', 'ভ্য', 'তা']"
3270.png,রপ্তানিও,"['র', 'প্তা', 'নি', 'ও']"
9826.png,রোদের,"['রো', 'দে', 'র']"
2795.png,আর্দ্রতা,"['আ', 'র্দ্র', 'তা']"
