image_id,label,graphemes
0.png,ইচ্ছে,"['ই', 'চ্ছে']"
1.png,জাগে,"['জা', 'গে']"
2.png,আকাশ,"['আ', 'কা', 'শ']"
3.png,প্রাণে,"['প্রা', 'ণে']"
4.png,উড়াল,"['উ', 'ড়া', 'ল']"
5.png,দিতে,"['দি', 'তে']"
6.png,হাওয়ায়,"['হা', 'ও', 'য়া', 'য়']"
7.png,ভেসে,"['ভে', 'সে']"
8.png,জগৎটাকে,"['জ', 'গ', 'ৎ', 'টা', 'কে']"
9.png,দেখতে,"['দে', 'খ', 'তে']"
10.png,ইচ্ছে,"['ই', 'চ্ছে']"
11.png,জাগে,"['জা', 'গে']"
12.png,সাগর,"['সা', 'গ', 'র']"
13.png,জলে,"['জ', 'লে']"
15.png,মেরে,"['মে', 'রে']"
16.png,পাতাল,"['পা', 'তা', 'ল']"
17.png,পুরী,"['পু', 'রী']"
18.png,যেতে,"['যে', 'তে']"
19.png,আছে,"['আ', 'ছে']"
20.png,যত,"['য', 'ত']"
21.png,মানিক,"['মা', 'নি', 'ক']"
22.png,রতন,"['র', 'ত', 'ন']"
23.png,সাগরেরই,"['সা', 'গ', 'রে', 'র', 'ই']"
24.png,বুকে,"['বু', 'কে']"
25.png,সাগর,"['সা', 'গ', 'র']"
26.png,কন্যা,"['ক', 'ন্যা']"
27.png,হয়ে,"['হ', 'য়ে']"
28.png,আমি,"['আ', 'মি']"
29.png,সবই,"['স', 'ব', 'ই']"
30.png,নিবে,"['নি', 'বে']"
32.png,ইচ্ছে,"['ই', 'চ্ছে']"
33.png,জাগে,"['জা', 'গে']"
34.png,জোছনা,"['জো', 'ছ', 'না']"
35.png,মাখা,"['মা', 'খা']"
36.png,রাতের,"['রা', 'তে', 'র']"
37.png,আলোক,"['আ', 'লো', 'ক']"
39.png,হয়ে,"['হ', 'য়ে']"
40.png,আলো,"['আ', 'লো']"
41.png,আমি,"['আ', 'মি']"
42.png,ছড়াবো,"['ছ', 'ড়া', 'বো']"
43.png,বিশ্ব,"['বি', 'শ্ব']"
44.png,জগৎ,"['জ', 'গ', 'ৎ']"
45.png,জুড়ে,"['জু', 'ড়ে']"
46.png,ইচ্ছে,"['ই', 'চ্ছে']"
47.png,আমার,"['আ', 'মা', 'র']"
48.png,আরো,"['আ', 'রো']"
49.png,কত,"['ক', 'ত']"
50.png,যে,['যে']
51.png,বলে,"['ব', 'লে']"
52.png,হবে,"['হ', 'বে']"
53.png,না,['না']
54.png,শেষ,"['শে', 'ষ']"
55.png,ইচ্ছে,"['ই', 'চ্ছে']"
56.png,গুলো,"['গু', 'লো']"
57.png,ইচ্ছে,"['ই', 'চ্ছে']"
58.png,হয়েই,"['হ', 'য়ে', 'ই']"
59.png,থাকবে,"['থা', 'ক', 'বে']"
60.png,হবে,"['হ', 'বে']"
61.png,না,['না']
62.png,কি,['কি']
63.png,তার,"['তা', 'র']"
64.png,শেষ,"['শে', 'ষ']"
65.png,বাংলাদেশের,"['বা', 'ং', 'লা', 'দে', 'শে', 'র']"
66.png,জলবায়ু,"['জ', 'ল', 'বা', 'য়ু']"
67.png,মূলত,"['মূ', 'ল', 'ত']"
68.png,নাতিশীতোষ্ণ,"['না', 'তি', 'শী', 'তো', 'ষ্ণ']"
69.png,ও,['ও']
72.png,সমুদ্রতীরবর্তী,"['স', 'মু', 'দ্র', 'তী', 'র', 'ব', 'র্তী']"
73.png,হওয়ায়,"['হ', 'ও', 'য়া', 'য়']"
74.png,বাংলাদেশের,"['বা', 'ং', 'লা', 'দে', 'শে', 'র']"
75.png,গ্রীষ্ম,"['গ্রী', 'ষ্ম']"
76.png,ও,['ও']
77.png,শীত,"['শী', 'ত']"
78.png,বেশি,"['বে', 'শি']"
79.png,তীব্র,"['তী', 'ব্র']"
80.png,নয়,"['ন', 'য়']"
81.png,অবস্থান,"['অ', 'ব', 'স্থা', 'ন']"
82.png,ও,['ও']
83.png,আবহাওয়ার,"['আ', 'ব', 'হা', 'ও', 'য়া', 'র']"
84.png,কারণে,"['কা', 'র', 'ণে']"
85.png,দেশের,"['দে', 'শে', 'র']"
86.png,এক,"['এ', 'ক']"
87.png,স্থানে,"['স্থা', 'নে']"
88.png,বেশি,"['বে', 'শি']"
89.png,বৃষ্টি,"['বৃ', 'ষ্টি']"
90.png,হয়,"['হ', 'য়']"
91.png,ও,['ও']
92.png,অন্যস্থানে,"['অ', 'ন্য', 'স্থা', 'নে']"
93.png,বৃষ্টি,"['বৃ', 'ষ্টি']"
94.png,হয়,"['হ', 'য়']"
95.png,এদেশের,"['এ', 'দে', 'শে', 'র']"
96.png,আবহাওয়া,"['আ', 'ব', 'হা', 'ও', 'য়া']"
97.png,অনুকুল,"['অ', 'নু', 'কু', 'ল']"
98.png,ও,['ও']
99.png,প্রতিকুল,"['প্র', 'তি', 'কু', 'ল']"
100.png,দুটোই,"['দু', 'টো', 'ই']"
101.png,অনুকুল,"['অ', 'নু', 'কু', 'ল']"
102.png,আবহাওয়ার,"['আ', 'ব', 'হা', 'ও', 'য়া', 'র']"
103.png,কারণে,"['কা', 'র', 'ণে']"
104.png,এ,['এ']
105.png,দেশ,"['দে', 'শ']"
106.png,এত,"['এ', 'ত']"
107.png,সুন্দর,"['সু', 'ন্দ', 'র']"
108.png,কিন্তু,"['কি', 'ন্তু']"
109.png,প্রতিকুল,"['প্র', 'তি', 'কু', 'ল']"
110.png,আবহাওয়ার,"['আ', 'ব', 'হা', 'ও', 'য়া', 'র']"
111.png,কারণে,"['কা', 'র', 'ণে']"
112.png,মানুষ,"['মা', 'নু', 'ষ']"
113.png,দুঃখ,"['দু', 'ঃ', 'খ']"
115.png,সহ্য,"['স', 'হ্য']"
116.png,করতে,"['ক', 'র', 'তে']"
117.png,হয়,"['হ', 'য়']"
118.png,রপ্তানির,"['র', 'প্তা', 'নি', 'র']"
119.png,ফলে,"['ফ', 'লে']"
120.png,প্রচুর,"['প্র', 'চু', 'র']"
121.png,বৈদেশিক,"['বৈ', 'দে', 'শি', 'ক']"
122.png,মুদ্রা,"['মু', 'দ্রা']"
123.png,অর্জিত,"['অ', 'র্জি', 'ত']"
124.png,হচ্ছে,"['হ', 'চ্ছে']"
125.png,যা,['যা']
126.png,আমাদের,"['আ', 'মা', 'দে', 'র']"
127.png,অর্থনীতিকে,"['অ', 'র্থ', 'নী', 'তি', 'কে']"
128.png,আরো,"['আ', 'রো']"
129.png,বেশি,"['বে', 'শি']"
130.png,সমৃদ্ধ,"['স', 'মৃ', 'দ্ধ']"
131.png,করছে,"['ক', 'র', 'ছে']"
132.png,শুধু,"['শু', 'ধু']"
133.png,অর্থনীতিকে,"['অ', 'র্থ', 'নী', 'তি', 'কে']"
134.png,এই,"['এ', 'ই']"
135.png,বৈদেশিক,"['বৈ', 'দে', 'শি', 'ক']"
136.png,মুদ্রা,"['মু', 'দ্রা']"
137.png,সচল,"['স', 'চ', 'ল']"
138.png,করছে,"['ক', 'র', 'ছে']"
139.png,না,['না']
140.png,এর,"['এ', 'র']"
141.png,ফলে,"['ফ', 'লে']"
142.png,দেশে,"['দে', 'শে']"
143.png,শিল্প,"['শি', 'ল্প']"
144.png,সম্প্রসারন,"['স', 'ম্প্র', 'সা', 'র', 'ন']"
145.png,ও,['ও']
147.png,সুযোগ,"['সু', 'যো', 'গ']"
148.png,সৃষ্টি,"['সৃ', 'ষ্টি']"
149.png,হচ্ছে,"['হ', 'চ্ছে']"
150.png,যদি,"['য', 'দি']"
151.png,বাংলাদেশ,"['বা', 'ং', 'লা', 'দে', 'শ']"
152.png,আমদানির,"['আ', 'ম', 'দা', 'নি', 'র']"
153.png,পরিমান,"['প', 'রি', 'মা', 'ন']"
154.png,হ্রাস,"['হ্রা', 'স']"
155.png,করে,"['ক', 'রে']"
156.png,রপ্তানির,"['র', 'প্তা', 'নি', 'র']"
157.png,পরিমান,"['প', 'রি', 'মা', 'ন']"
158.png,বৃদ্ধি,"['বৃ', 'দ্ধি']"
159.png,করে,"['ক', 'রে']"
160.png,তবে,"['ত', 'বে']"
161.png,তবে,"['ত', 'বে']"
162.png,আমর,"['আ', 'ম', 'র']"
163.png,জাতি,"['জা', 'তি']"
164.png,হিসেবে,"['হি', 'সে', 'বে']"
165.png,আরো,"['আ', 'রো']"
166.png,স্বাবলম্বী,"['স্বা', 'ব', 'ল', 'ম্বী']"
167.png,হয়ে,"['হ', 'য়ে']"
168.png,উঠতে,"['উ', 'ঠ', 'তে']"
169.png,পারবো,"['পা', 'র', 'বো']"
170.png,আমাদের,"['আ', 'মা', 'দে', 'র']"
171.png,দেশের,"['দে', 'শে', 'র']"
172.png,বিভিন্ন,"['বি', 'ভি', 'ন্ন']"
