words,graphemes,not_found
সা্বাধীনতার,"['সা', '্বা', 'ধী', 'ন', 'তা', 'র']",['্বা']
দুুর্জন,"['দু', 'ু', 'র্জ', 'ন']",['ু']
মূূল্যবান,"['মূ', 'ূ', 'ল্য', 'বা', 'ন']",['ূ']
সম্পদ্গুলো,"['স', 'ম্প', 'দ্গু', 'লো']",['দ্গু']
যক্ষ্মা,"['য', 'ক্ষ্মা']",['ক্ষ্মা']
দুুর্বল,"['দু', 'ু', 'র্ব', 'ল']",['ু']
বাশঁদহ,"['বা', 'শঁ', 'দ', 'হ']",['শঁ']
প্রবিন্রা,"['প্র', 'বি', 'ন্রা']",['ন্রা']
বূলাস,"['বূ', 'লা', 'স']",['বূ']
পৃৃথিবীতে,"['পৃ', 'ৃ', 'থি', 'বী', 'তে']",['ৃ']
সাাধারন,"['সা', 'া', 'ধা', 'র', 'ন']",['া']
সাাধারণভাবে,"['সা', 'া', 'ধা', 'র', 'ণ', 'ভা', 'বে']",['া']
বাঁঁধ,"['বাঁ', 'ঁ', 'ধ']",['ঁ']
বুঝেনিা,"['বু', 'ঝে', 'নি', 'া']",['া']
দৃৃষ্টিভঙ্গি,"['দৃ', 'ৃ', 'ষ্টি', 'ভ', 'ঙ্গি']",['ৃ']
কৃতজ্ঞিত,"['কৃ', 'ত', 'জ্ঞি', 'ত']",['জ্ঞি']
ঝিঁঝিঁর,"['ঝিঁ', 'ঝিঁ', 'র']",['ঝিঁ']
মানব্জাতিকে,"['মা', 'ন', 'ব্জা', 'তি', 'কে']",['ব্জা']
মুুল,"['মু', 'ু', 'ল']",['ু']
তাঁঁতি,"['তাঁ', 'ঁ', 'তি']",['ঁ']
দুুর্নিতি,"['দু', 'ু', 'র্নি', 'তি']",['ু']
আবৃষ্কিত,"['আ', 'বৃ', 'ষ্কি', 'ত']",['ষ্কি']
সাাধনার,"['সা', 'া', 'ধ', 'না', 'র']",['া']
আমাের,"['আ', 'মা', 'ে', 'র']",['ে']
হ্যাঁকার,"['হ্যাঁ', 'কা', 'র']",['হ্যাঁ']
দুুর্নিতির,"['দু', 'ু', 'র্নি', 'তি', 'র']",['ু']
বাঁঁধার,"['বাঁ', 'ঁ', 'ধা', 'র']",['ঁ']
দুুরূহ,"['দু', 'ু', 'রূ', 'হ']",['ু']
দুুর্যোগের,"['দু', 'ু', 'র্যো', 'গে', 'র']",['ু']
সৌহার্দ্য,"['সৌ', 'হা', 'র্দ্য']",['র্দ্য']
দুূরত্ব,"['দু', 'ূ', 'র', 'ত্ব']",['ূ']
সামর্থ্যের,"['সা', 'ম', 'র্থ্যে', 'র']",['র্থ্যে']
চঁ,['চঁ'],['চঁ']
মাতৃৃভাষা,"['মা', 'তৃ', 'ৃ', 'ভা', 'ষা']",['ৃ']
থ্রীডি,"['থ্রী', 'ডি']",['থ্রী']
জোঁতি,"['জোঁ', 'তি']",['জোঁ']
হ্যাঁ,['হ্যাঁ'],['হ্যাঁ']
ইত্যাাদী,"['ই', 'ত্যা', 'া', 'দী']",['া']
দুুর্ভিক্ষ,"['দু', 'ু', 'র্ভি', 'ক্ষ']",['ু']
দুুর্ভিক্ষে,"['দু', 'ু', 'র্ভি', 'ক্ষে']",['ু']
দুূূরত্বই,"['দু', 'ূ', 'ূ', 'র', 'ত্ব', 'ই']",['ূ']
জীববৈচিত্র্যে,"['জী', 'ব', 'বৈ', 'চি', 'ত্র্যে']",['ত্র্যে']
স্বাচ্ছন্দ্যা,"['স্বা', 'চ্ছ', 'ন্দ্যা']",['ন্দ্যা']
ব্যবস্থ্যা,"['ব্য', 'ব', 'স্থ্যা']",['স্থ্যা']
দুুর্যোগ,"['দু', 'ু', 'র্যো', 'গ']",['ু']
অপরাহ্ণে,"['অ', 'প', 'রা', 'হ্ণে']",['হ্ণে']
দুুর্দশা,"['দু', 'ু', 'র্দ', 'শা']",['ু']
রাসূ্ল,"['রা', 'সূ', '্ল']",['্ল']
সুষ্ঠূভাবে,"['সু', 'ষ্ঠূ', 'ভা', 'বে']",['ষ্ঠূ']
